,index,Features,VIF
0,30,age,0.06106662640607251
1,33,prev_flare_v1_sum,0.052138209379322384
2,19,white_blood_cell_count_x103ul_mean,0.04079857192835522
3,29,white_blood_cell_count_x103ul_max,0.03978743075329684
4,16,platelet_count_x103ul_mean,0.03848237584935009
5,26,platelet_count_x103ul_max,0.03840212877141116
6,15,mean_corpuscular_volume_fl_mean,0.03711347381090691
7,14,glucose_random_mgdl_mean,0.0369106445537206
8,24,glucose_random_mgdl_max,0.03606470931071729
9,6,platelet_count_x103ul_base,0.03535070640822066
10,9,white_blood_cell_count_x103ul_base,0.03494548915635972
11,5,mean_corpuscular_volume_fl_base,0.034340979985609706
12,25,mean_corpuscular_volume_fl_max,0.03421115536216858
13,13,creatinine_mgdl_mean,0.03307493032460157
14,17,potassium_mmoll_mean,0.03281978092495547
15,11,calcium_total_mgdl_mean,0.031260936565583285
16,4,glucose_random_mgdl_base,0.03109004635558573
17,10,blood_urea_nitrogen_mgdl_mean,0.029731511293675107
18,23,creatinine_mgdl_max,0.02860253444249577
19,18,sodium_mmoll_mean,0.027573986646408217
20,12,chloride_mmoll_mean,0.027210288926576568
21,3,creatinine_mgdl_base,0.026741373449878012
22,20,blood_urea_nitrogen_mgdl_max,0.022503086258586283
23,27,potassium_mmoll_max,0.022502995756690573
24,21,calcium_total_mgdl_max,0.021764639581576265
25,1,calcium_total_mgdl_base,0.020356813409951324
26,0,blood_urea_nitrogen_mgdl_base,0.0199854086069704
27,22,chloride_mmoll_max,0.019760494651072564
28,7,potassium_mmoll_base,0.01954546182474426
29,28,sodium_mmoll_max,0.01719184803556999
30,2,chloride_mmoll_base,0.016952885140272957
31,8,sodium_mmoll_base,0.016193993141650497
32,32,male_v_female,0.008121292555834114
33,31,immuno_med,0.00740319043180934
