,index,Features,VIF
0,30,age,0.062394301314560544
1,33,prev_flare_v1_sum,0.048315406021393545
2,19,white_blood_cell_count_x103ul_mean,0.0409528064496752
3,29,white_blood_cell_count_x103ul_max,0.03996149422716364
4,16,platelet_count_x103ul_mean,0.038967844204028684
5,26,platelet_count_x103ul_max,0.037544124302940414
6,15,mean_corpuscular_volume_fl_mean,0.03749913584385239
7,14,glucose_random_mgdl_mean,0.03662864157850547
8,9,white_blood_cell_count_x103ul_base,0.036365758583405156
9,6,platelet_count_x103ul_base,0.0358576491579973
10,24,glucose_random_mgdl_max,0.035325282023076936
11,25,mean_corpuscular_volume_fl_max,0.03461799179235895
12,5,mean_corpuscular_volume_fl_base,0.034391518438250654
13,13,creatinine_mgdl_mean,0.03384907435488664
14,17,potassium_mmoll_mean,0.03226230909007877
15,4,glucose_random_mgdl_base,0.031033906757623072
16,11,calcium_total_mgdl_mean,0.030148530688023683
17,10,blood_urea_nitrogen_mgdl_mean,0.029510266901561198
18,23,creatinine_mgdl_max,0.029029333567986947
19,12,chloride_mmoll_mean,0.02768669458503975
20,18,sodium_mmoll_mean,0.027529748996974787
21,3,creatinine_mgdl_base,0.026722869631747154
22,27,potassium_mmoll_max,0.022689476936647263
23,20,blood_urea_nitrogen_mgdl_max,0.022328364497832435
24,21,calcium_total_mgdl_max,0.021508871237375764
25,1,calcium_total_mgdl_base,0.02056805523204173
26,0,blood_urea_nitrogen_mgdl_base,0.0199413643077046
27,7,potassium_mmoll_base,0.019852870043187528
28,22,chloride_mmoll_max,0.01978421413754496
29,28,sodium_mmoll_max,0.017491773932875394
30,2,chloride_mmoll_base,0.01696049201342886
31,8,sodium_mmoll_base,0.016457704168069996
32,31,immuno_med,0.008077082164332033
33,32,male_v_female,0.0077450428178285425
