,index,Features,VIF
0,30,age,0.06514207941680833
1,33,prev_flare_v1_sum,0.04176264711032114
2,19,white_blood_cell_count_x103ul_mean,0.04066969885436091
3,15,mean_corpuscular_volume_fl_mean,0.039535380468998405
4,16,platelet_count_x103ul_mean,0.03937017501918444
5,26,platelet_count_x103ul_max,0.038602538833977025
6,29,white_blood_cell_count_x103ul_max,0.03775320224212831
7,14,glucose_random_mgdl_mean,0.03678301907996562
8,5,mean_corpuscular_volume_fl_base,0.034969730812789084
9,25,mean_corpuscular_volume_fl_max,0.034462077618112846
10,6,platelet_count_x103ul_base,0.03439562711639423
11,24,glucose_random_mgdl_max,0.034044304657511015
12,9,white_blood_cell_count_x103ul_base,0.03401336485503701
13,13,creatinine_mgdl_mean,0.03383566895981872
14,11,calcium_total_mgdl_mean,0.03303852051990436
15,17,potassium_mmoll_mean,0.0325024657381344
16,10,blood_urea_nitrogen_mgdl_mean,0.03217384581593455
17,18,sodium_mmoll_mean,0.030696182012123104
18,4,glucose_random_mgdl_base,0.029731642447429714
19,12,chloride_mmoll_mean,0.029094766570722214
20,23,creatinine_mgdl_max,0.02845131402880447
21,3,creatinine_mgdl_base,0.0265648513423106
22,20,blood_urea_nitrogen_mgdl_max,0.022432314873167523
23,27,potassium_mmoll_max,0.0223804307791749
24,21,calcium_total_mgdl_max,0.0223442471538067
25,1,calcium_total_mgdl_base,0.020117132825534022
26,0,blood_urea_nitrogen_mgdl_base,0.019825318183310563
27,7,potassium_mmoll_base,0.019410730271557174
28,22,chloride_mmoll_max,0.01927745352428888
29,28,sodium_mmoll_max,0.016610069758382882
30,2,chloride_mmoll_base,0.016498942455398014
31,8,sodium_mmoll_base,0.01622886768494994
32,32,male_v_female,0.008766975883041466
33,31,immuno_med,0.00851441308661757
