,index,Features,VIF
0,33,prev_flare_v1_sum,0.04837474371818092
1,17,potassium_mmoll_mean,0.03670295341702663
2,19,white_blood_cell_count_x103ul_mean,0.03654195294751429
3,11,calcium_total_mgdl_mean,0.036509820672212874
4,29,white_blood_cell_count_x103ul_max,0.03569176439451666
5,26,platelet_count_x103ul_max,0.03466848546725356
6,30,age,0.03458171505617665
7,16,platelet_count_x103ul_mean,0.03390425489569124
8,15,mean_corpuscular_volume_fl_mean,0.033772423972356046
9,10,blood_urea_nitrogen_mgdl_mean,0.03364233269800616
10,14,glucose_random_mgdl_mean,0.032858826418744755
11,5,mean_corpuscular_volume_fl_base,0.032609315426277756
12,9,white_blood_cell_count_x103ul_base,0.03244497898739049
13,13,creatinine_mgdl_mean,0.03203078436763848
14,24,glucose_random_mgdl_max,0.031994719793404014
15,12,chloride_mmoll_mean,0.031735860626348124
16,18,sodium_mmoll_mean,0.03167933160872238
17,6,platelet_count_x103ul_base,0.03162039345079739
18,25,mean_corpuscular_volume_fl_max,0.03124663584400843
19,23,creatinine_mgdl_max,0.028821414852205927
20,4,glucose_random_mgdl_base,0.02846641389609748
21,3,creatinine_mgdl_base,0.02724475617883185
22,21,calcium_total_mgdl_max,0.027215476896971326
23,20,blood_urea_nitrogen_mgdl_max,0.02712747394721222
24,22,chloride_mmoll_max,0.026278496581627387
25,27,potassium_mmoll_max,0.026219454400319853
26,1,calcium_total_mgdl_base,0.026217130442366388
27,0,blood_urea_nitrogen_mgdl_base,0.024721324084668816
28,7,potassium_mmoll_base,0.024220829054748344
29,28,sodium_mmoll_max,0.022923665870471992
30,2,chloride_mmoll_base,0.02273769899103419
31,8,sodium_mmoll_base,0.021660939395254937
32,32,male_v_female,0.007082100220901032
33,31,immuno_med,0.006451531425021503
