,index,Features,VIF
0,30,age,0.06483733417350569
1,33,prev_flare_v1_sum,0.04422364876688269
2,29,white_blood_cell_count_x103ul_max,0.03998845883655283
3,19,white_blood_cell_count_x103ul_mean,0.03917053799433299
4,24,glucose_random_mgdl_max,0.03755170666717083
5,14,glucose_random_mgdl_mean,0.037427212129928805
6,26,platelet_count_x103ul_max,0.037053051027681375
7,16,platelet_count_x103ul_mean,0.03658819764338413
8,15,mean_corpuscular_volume_fl_mean,0.03624301196632922
9,5,mean_corpuscular_volume_fl_base,0.03560584909817071
10,6,platelet_count_x103ul_base,0.03501549331799177
11,9,white_blood_cell_count_x103ul_base,0.034403971488202255
12,25,mean_corpuscular_volume_fl_max,0.03370693887121798
13,13,creatinine_mgdl_mean,0.03282773068670699
14,4,glucose_random_mgdl_base,0.03280503875395463
15,11,calcium_total_mgdl_mean,0.032410232465577775
16,17,potassium_mmoll_mean,0.03158195993145726
17,10,blood_urea_nitrogen_mgdl_mean,0.029167557807950484
18,23,creatinine_mgdl_max,0.02914755109848009
19,18,sodium_mmoll_mean,0.02771262397713762
20,3,creatinine_mgdl_base,0.027545468662702764
21,12,chloride_mmoll_mean,0.02664915325896962
22,20,blood_urea_nitrogen_mgdl_max,0.023532094111830985
23,27,potassium_mmoll_max,0.022964653105234694
24,21,calcium_total_mgdl_max,0.022098896833484406
25,1,calcium_total_mgdl_base,0.0212578980207874
26,0,blood_urea_nitrogen_mgdl_base,0.02055720997829025
27,7,potassium_mmoll_base,0.02024604776137505
28,22,chloride_mmoll_max,0.019096973079498907
29,28,sodium_mmoll_max,0.018313903930413655
30,2,chloride_mmoll_base,0.01728108437408746
31,8,sodium_mmoll_base,0.016774893546582133
32,32,male_v_female,0.009300340672035176
33,31,immuno_med,0.006913275962091308
